# lambda av_DeltaU
   0.655655656 8639.650014619
   0.656656657 8626.293863859
   0.657657658 8612.910428925
   0.658658659 8599.500061990
   0.659659660 8586.063198472
   0.660660661 8572.600348303
   0.661661662 8559.112084174
   0.662662663 8545.599026881
   0.663663664 8532.061828011
   0.664664665 8518.501150340
   0.665665666 8504.917646422
   0.666666667 8491.311935933
   0.667667668 8477.684582439
   0.668668669 8464.036070291
   0.669669670 8450.366782397
   0.670670671 8436.676979617
   0.671671672 8422.966782532
   0.672672673 8409.236156244
   0.673673674 8395.484898840
   0.674674675 8381.712634017
   0.675675676 8367.918808266
   0.676676677 8354.102692864
   0.677677678 8340.263390789
   0.678678679 8326.399848506
   0.679679680 8312.510872410
   0.680680681 8298.595149579
   0.681681682 8284.651272328
   0.682682683 8270.677765925
   0.683683684 8256.673118728
   0.684684685 8242.635813915
   0.685685686 8228.564361890
   0.686686687 8214.457332468
   0.687687688 8200.313385864
   0.688688689 8186.131301617
   0.689689690 8171.910004566
   0.690690691 8157.648587131
   0.691691692 8143.346327215
   0.692692693 8129.002701217
   0.693693694 8114.617391751
   0.694694695 8100.190289837
   0.695695696 8085.721491500
   0.696696697 8071.211288853
   0.697697698 8056.660155895
   0.698698699 8042.068729408
   0.699699700 8027.437785441
   0.700700701 8012.768211987
   0.701701702 7998.060978519
   0.702702703 7983.317103133
   0.703703704 7968.537618048
   0.704704705 7953.723534256
   0.705705706 7938.875806080
   0.706706707 7923.995296389
   0.707707708 7909.082743179
   0.708708709 7894.138728195
   0.709709710 7879.163648194
   0.710710711 7864.157689455
   0.711711712 7849.120806022
   0.712712713 7834.052702201
   0.713713714 7818.952819717
   0.714714715 7803.820329959
   0.715715716 7788.654131640
   0.716716717 7773.452854206
   0.717717718 7758.214867220
   0.718718719 7742.938295910
   0.719719720 7727.621042975
   0.720720721 7712.260816609
   0.721721722 7696.855164615
   0.722722723 7681.401514287
   0.723723724 7665.897217577
   0.724724725 7650.339600889
   0.725725726 7634.726018593
   0.726726727 7619.053909190
   0.727727728 7603.320852835
   0.728728729 7587.524628733
   0.729729730 7571.663270801
   0.730730731 7555.735119867
   0.731731732 7539.738870627
   0.732732733 7523.673611632
   0.733733734 7507.538856653
   0.734734735 7491.334565996
   0.735735736 7475.061156582
   0.736736737 7458.719499995
   0.737737738 7442.310908119
   0.738738739 7425.837106455
   0.739739740 7409.300195761
   0.740740741 7392.702603124
   0.741741742 7376.047024138
   0.742742743 7359.336358240
   0.743743744 7342.573639663
   0.744744745 7325.761966688
   0.745745746 7308.904432005
   0.746746747 7292.004056958
   0.747747748 7275.063732282
   0.748748749 7258.086167587
   0.749749750 7241.073851422
   0.750750751 7224.029023143
   0.751751752 7206.953657194
   0.752752753 7189.849459678
   0.753753754 7172.717876430
   0.754754755 7155.560111104
   0.755755756 7138.377151225
   0.756756757 7121.169799647
   0.757757758 7103.938708539
   0.758758759 7086.684412831
   0.759759760 7069.407360047
   0.760760761 7052.107933632
   0.761761762 7034.786467233
   0.762762763 7017.443247889
   0.763763764 7000.078506745
   0.764764765 6982.692396617
   0.765765766 6965.284956570
   0.766766767 6947.856064454
   0.767767768 6930.405379175
   0.768768769 6912.932275166
   0.769769770 6895.435772177
   0.770770771 6877.914463962
   0.771771772 6860.366449759
   0.772772773 6842.789272623
   0.773773774 6825.179868573
   0.774774775 6807.534530340
   0.775775776 6789.848889059
   0.776776777 6772.117916723
   0.777777778 6754.335951521
   0.778778779 6736.496747406
   0.779779780 6718.593548384
   0.780780781 6700.619187123
   0.781781782 6682.566206529
   0.782782783 6664.427002087
   0.783783784 6646.193981812
   0.784784785 6627.859739890
   0.785785786 6609.417239310
   0.786786787 6590.859998155
   0.787787788 6572.182273711
   0.788788789 6553.379238199
   0.789789790 6534.447139756
   0.790790791 6515.383442353
   0.791791792 6496.186938624
   0.792792793 6476.857830100
   0.793793794 6457.397770187
   0.794794795 6437.809866274
   0.795795796 6418.098638657
   0.796796797 6398.269935500
   0.797797798 6378.330804671
   0.798798799 6358.289325008
   0.799799800 6338.154401279
   0.800800801 6317.935528647
   0.801801802 6297.642533831
   0.802802803 6277.285301250
   0.803803804 6256.873493140
   0.804804805 6236.416272981
   0.805805806 6215.922041486
   0.806806807 6195.398193917
   0.807807808 6174.850906661
   0.808808809 6154.284959863
   0.809809810 6133.703601517
   0.810810811 6113.108456944
   0.811811812 6092.499486012
